region,country,topic,name,url,language,source_type,perspective,channel,platform,is_dataset,accuracy,uniqueness,timeliness,transparency,verifiability,accessibility,depth,composite,notes,
Eurasia,Russia,Security,Conflict Intelligence Team (CIT),https://citeam.org,RU/EN,Investigative OSINT collective,Independent (exile),Website,,no,5,5,4,4,5,4,4,4.4,Founder-led OSINT/HUMINT tracking of Russian force movements; relocated to Tbilisi. Undesirable org in RU.,
Eurasia,Russia,Security,Agentura.ru,https://agentura.ru,RU/EN,Security-services watchdog (expert),Independent,Website,,no,4,5,3,4,3,4,5,4,"Soldatov/Borogan project on FSB/GRU/SVR since 2000; deep institutional expertise, slower cadence.",
Eurasia,Russia,Security,Mediazona,https://zona.media,RU/EN,Investigative outlet (courts/security),Independent (exile),Website,,no,5,4,5,4,4,4,3,4.1,"Law enforcement, prisons, courts; verified Russian soldier death toll with BBC Russian.",
Eurasia,Russia,Security,Rybar,https://t.me/s/rybar,RU,Milblogger (Telegram),Pro-war / state-aligned,Social media,Telegram,no,3,4,5,2,2,3,3,3.1,Ex-MoD officer; detailed frontline maps. Use as adversary framing; treat claims as sourced propaganda.,
Eurasia,Russia,Security,Russian Strategic Nuclear Forces,https://russianforces.org,EN/RU,Order-of-battle database (expert),Independent,Website,,yes,5,5,3,5,4,4,5,4.4,"Pavel Podvig's authoritative open database of Russian strategic nuclear forces, drawn from Russian sources.",
Eurasia,Russia,Security,Oryx,https://www.oryxspioenkop.com,EN,Equipment-loss tracker (OSINT dataset),Independent,Website,,yes,4,5,4,5,5,4,2,4.1,Netherlands-based tally of visually confirmed equipment losses (photo/video required); rigorous but an undercount.,
Eurasia,Russia,Economic,The Bell,https://en.thebell.io,RU/EN,Business/economics outlet,Independent (exile),Website,,no,5,4,4,4,4,4,4,4.1,"Founded by Osetinskaya; cited by FT/Reuters/WSJ. Twice-weekly economic analysis, EN/RU/FR/DE.",
Eurasia,Russia,Economic,Bank of Russia (CBR),https://www.cbr.ru/eng/,RU/EN,Official central bank,State / official,Website,,yes,4,3,4,3,4,4,2,3.4,"Primary monetary, FX, and banking data. Reliable numbers; official framing requires cross-checking.",
Eurasia,Russia,Economic,Rosstat,https://rosstat.gov.ru,RU,Official statistics agency,State / official,Website,,yes,3,3,3,2,3,3,2,2.7,Official macro/social statistics. Baseline source but methodology changes and politicization noted.,
Eurasia,Russia,Economic,Bear Market Brief,https://bearmarketbrief.substack.com,EN,Newsletter / analysis (FPRI),Independent,Social media,Substack,no,4,4,3,5,4,5,4,4.1,"FPRI Eurasia Program newsletter and podcast on Russia's economy, business, and political-risk environment.",
Eurasia,Russia,Political,OVD-Info,https://ovd.info,RU/EN,Human-rights monitor (repression data),Independent,Website,,yes,5,5,5,5,5,5,3,4.7,Real-time detention/persecution database and hotline. Designated extremist in RU (2026).,
Eurasia,Russia,Political,Carnegie Politika,https://carnegieendowment.org/russia-eurasia/politika,EN,Expert think-tank analysis,Independent,Website,,no,5,4,3,5,4,5,5,4.4,Regional experts (Gabuev et al.) on elite politics and policy; analytical depth over speed.,
Eurasia,Russia,Political,Re:Russia,https://re-russia.net,RU/EN,Expert network / analysis,Independent,Website,,no,4,5,3,4,4,5,5,4.3,"Kirill Rogov's expert hub aggregating and producing research on politics, economy, society.",
Eurasia,Russia,Political,Riddle Russia,https://ridl.io,RU/EN,Expert analysis platform,Independent,Website,,no,4,4,3,4,4,5,4,4,"Bilingual analytical essays from a broad Russia-studies community; free, non-paywalled.",
Eurasia,Russia,Political,Russia Matters,https://www.russiamatters.org,EN,Think-tank hub (analysis + data),Independent,Website,,no,5,3,3,5,4,5,4,4.1,"Harvard Belfer Center project: analysis, fact-checking, and factual data on Russia and US-Russia relations.",
Eurasia,Russia,Political,Faridaily,https://faridaily.substack.com,RU/EN,Newsletter / elite politics,Independent (exile),Social media,Substack,no,4,5,3,4,3,4,4,3.9,"Rustamova/Liutova newsletter on Kremlin politics and elite dynamics; strong read on insider mood, bi-weekly.",
Eurasia,Russia,Societal,Levada Center,https://www.levada.ru/en/,RU/EN,Independent pollster,Independent,Website,,yes,5,4,4,5,5,4,3,4.3,Russia's principal independent pollster since 2003; foreign-agent listed 2016. Trusted trend data.,
Eurasia,Russia,Societal,Russian Field,https://russianfield.com,RU,Independent polling project,Independent,Website,,yes,4,5,4,5,5,4,3,4.3,Post-2022 startup pollster probing war attitudes with nuanced question design.,
Eurasia,Russia,Societal,Chronicles,https://www.chronicles.report,RU/EN,War-opinion research (open data),Independent,Website,,yes,4,5,3,5,5,4,3,4.1,Miniailo-led project; publishes anonymized datasets/questionnaires on war perception via GitHub.,
Eurasia,Russia,Societal,ExtremeScan,https://www.extremescan.eu,EN/RU,Research collective (polling dataset),Independent,Website,,yes,4,4,3,5,4,4,4,4,Koneva-led international collective measuring wartime opinion in RU/UA/BY; publishes methodology and releases.,
Eurasia,Russia,Societal,Russia Watcher,https://russiawatcher.com,EN,Daily tracking survey (Princeton),Independent,Website,,yes,4,5,5,5,5,4,3,4.4,Princeton daily survey (~200 respondents/day) on war attitudes and propaganda effects; open reports.,
